number	title	pageid	namespace	length	touched
1	Antoine_Parmentier	356		45759	20170215093454
2	Cuisine_médiévale	537		107923	20170212174653
3	Cuisine	563		45082	20170212174653
4	Blanc_d'œuf	2534		6863	20170215143143
5	Recette_de_cuisine	2688		2792	20170128140223
6	Viandier	5111		11383	20170212174758
7	Unités_de_mesure_pour_la_cuisine	6297		3013	20170116110300
8	Confit_de_canard	7215		4941	20170215004546
9	Cuisine_de_Tahiti	8020		5957	20170215143148
10	Gulab_jamun	15058		1319	20170215143216
11	Cuisine_hongroise	15661		4233	20170215143216
12	La_Femme_du_boulanger	22115		10514	20170215004646
13	Crème_chantilly	22985		14424	20170208213952
14	Mon_oncle_Benjamin_(film)	26441		7978	20170212175151
15	Sablé_(biscuit)	27589		3572	20170215143337
16	Le_Chocolat	30310		5262	20170213112301
17	Cornes_de_gazelles	31051		2517	20170215143349
18	Ghribiya	31111		5031	20170215143349
19	Gâteau_au_fromage	31633		3296	20170215143349
20	Gâteau_au_fromage_à_la_mode_d'Obwald	31639		693	20170215143349
21	Gratin	36426		1623	20170201201642
22	Sandwich	37283		9072	20170214103528
23	Liste_de_cuisiniers	38581		6591	20170205171733
24	Marcus_Gavius_Apicius	38586		11757	20170205121103
25	Bassine_à_confiture	38592		758	20170215143356
26	Taco	39031		5485	20170212175303
27	Pastor_(cuisine)	39033		607	20170215143356
28	Cuisinier	39045		6173	20170215004703
29	Frigidaire	39242		2961	20170212175303
30	Le_Festin_de_Babette	40026		11313	20170215093030
31	La_Grande_Bouffe	40387		17769	20170212175306
32	Alimentation_dans_l'Égypte_antique	40687		10188	20170212175306
33	Þorramatur	42064		1874	20170215143406
34	Le_père_Noël_est_une_ordure	42960		24838	20170213130707
35	Les_Tontons_flingueurs	43178		33720	20170212175320
36	La_Traversée_de_Paris	46178		18629	20170215004719
37	Le_Dîner_de_cons	46918		24292	20170215004719
38	Delicatessen_(film)	47751		6277	20170212175344
39	Qualité_sanitaire_de_la_nourriture	48184		2842	20170215143418
40	Pâte_sucrée	54737		1174	20170215143423
41	Histoire_de_l'art_culinaire	55020		16978	20170215143423
42	Ingrédient_de_cuisine	55077		2285	20170204150413
43	Liste_des_cuisines_du_monde	55082		9003	20170215143423
44	Assaisonnements,_condiments_et_moutardes	55201		3702	20170116110812
45	Sambal_(cuisine)	55281		10577	20170215143423
46	Tahini	55286		2154	20170213133535
47	Mirepoix_(cuisine)	55330		1242	20170116110812
48	Légume_vert	56368		1460	20170215143426
49	Infusion	56399		1458	20170215143426
50	Fruit_rouge	57163		1426	20170215143430
51	Liste_des_poissons_de_mer_utilisés_en_cuisine	57488		7548	20170116110833
52	Paul_Thalamas	62272		3385	20170215143442
53	Paul_Jullemier	62273		663	20170215143442
54	Auguste_Escoffier	62274		21314	20170212175547
55	Gâteau_au_chocolat	63129		2192	20170215143442
56	Bœuf_haché	64741		2092	20170116110910
57	Composition_nutritionnelle_des_aliments	66201		2073	20170126234042
58	Composition_nutritionnelle_des_boissons	66217		17940	20170116110914
59	Composition_nutritionnelle_des_sucres_et_dérivés	66225		8498	20170116110914
60	Composition_nutritionnelle_des_corps_gras	66232		5906	20170116110914
61	Composition_nutritionnelle_des_fruits	66476		79279	20170215004750
62	Sucre_d'érable	66971		2061	20170215143450
63	Composition_nutritionnelle_des_légumes_et_dérivés	68679		15052	20170215004754
64	Osso_buco	71862		3879	20170215143458
65	Marie-Antoine_Carême	72793		14493	20170212175707
66	L'Auberge_rouge_(film,_1951)	75066		12361	20170212175718
67	Alexandre_le_bienheureux	75991		5846	20170215103515
68	Panetière	79944		3807	20170208150122
69	Brunoise	81598		477	20170215143510
70	Réfrigérateur	86777		23809	20170213163751
71	Lakh	87250		5188	20170215143526
72	Potager_(cuisine)	88135		26342	20170131033351
73	Conserve	94330		16018	20170212180034
74	Panure_à_l'anglaise	94926		1008	20170215143543
75	Frita	95178		1930	20170215143543
76	Réaction_de_Maillard	96465		25726	20170212180059
77	Far_breton	98159		1981	20170215143558
78	Alice_B._Toklas	99925		5948	20170212180142
79	Cooper's_Sparkling_Ale	104466		442	20170215143607
80	Ebly	106226		2694	20170215143609
81	Cuisson_du_riz	106234		5246	20170215143609
82	Macis	110605		2298	20170215143620
83	Tramousse	110696		2047	20170215143625
84	Cuisine_brésilienne	112198		5159	20170215143627
85	Guazzetto	116919		1184	20170215143635
86	Noix_de_pécan	117645		2840	20170215143635
87	François_Vatel	117722		21901	20170212180340
88	Panforte	118737		1599	20170215143652
89	Lasagnes	120324		2700	20170215143656
90	Pâtissier	120332		6700	20170215143656
91	Chocolatier	120336		2630	20170215143656
92	Pemmican	120353		2676	20170215143703
93	Fourchette	122110		6981	20170215143703
94	Cuisine_alsacienne	125801		7190	20170215143708
95	Cuisine_des_pays_du_Maghreb	131258		12280	20170215143722
96	Morue	138616		20681	20170215151339
97	Truffade	141861		5401	20170212180556
98	Avisances	142177		435	20170215143814
99	Gendarme_(charcuterie)	147333		1816	20170215143833
100	L'Aile_ou_la_Cuisse	147520		12296	20170212180622
101	Art_culinaire	154063		1164	20170215143857
102	Saladier	156183		549	20170215143859
103	Amatriciana	157105		1604	20170215143902
104	Kebab	162555		15327	20170214182415
105	Dîner	162644		2041	20170215143941
106	Charlie_et_la_Chocolaterie_(film,_2005)	163875		16969	20170215005004
107	Crêperie	165757		2189	20170215143948
108	Yakitori	166419		9460	20170212180804
109	Cul_de_poule	166510		884	20170215143959
110	Court-bouillon	167779		1710	20170215143959
111	Salade_de_fruits	172043		2016	20170215144010
112	Conservateur_alimentaire	174610		3241	20170215144024
113	Piperade	176735		3182	20170215144033
114	Raoul_Ponchon	181379		10831	20170210210851
115	Arepa	181498		1580	20170215144043
116	Pakora	182101		7298	20170215144100
117	Caramilk	182274		1931	20170215144100
118	Guillaume_Tirel	185106		4080	20170211123611
119	Congélation	188672		9870	20170212181110
120	Alexandre_Balthazar_Laurent_Grimod_de_La_Reynière	190553		22191	20170212181132
121	Cuisine_salvadorienne	192466		1390	20170215144158
122	Pupusa	192473		2293	20170215144158
123	Al_dente	195347		1347	20170215144213
124	Visitor_Q	196609		5338	20170212181221
125	Festen	196983		5234	20170212181231
126	Tandoori	198487		1348	20170215144223
127	Macération	199168		3367	20170215144228
128	Charlie_et_la_Chocolaterie_(film,_1971)	200996		7929	20170212181306
129	Les_Mille_et_Une_Recettes_du_cuisinier_amoureux	202832		5834	20170212181317
130	Cuisine_nyonya	205887		313	20170215144314
131	Pétrissage	205901		5986	20170116112437
132	Cuisine_éthiopienne	207169		3618	20170215144323
133	Le_Cauchemar_de_Darwin	208582		16284	20170214182720
134	Chaudrée_de_palourdes	210774		1199	20170215144331
135	Réfrigération	211325		11486	20170215144334
136	Cave_à_vin	211451		18420	20170116112517
137	Pêche_Melba	218150		1730	20170215144412
138	Tamal	221896		3909	20170215144422
139	Hallaca	224541		1670	20170215144426
140	Kacha	225221		723	20170215144429
141	Cannelloni	229531		839	20170215144446
142	Cha-Cha	231387		901	20170215144452
143	Cuisiniers_connus_au_Moyen_Âge_et_à_la_Renaissance_en_Europe	235591		6869	20170128150400
144	Harira	236839		3053	20170215144501
145	Pain_polaire	243071		1752	20170215144529
146	Saurisserie	243801		338	20170215144530
147	Cake_(gâteau)	243807		4127	20170215144530
148	Œuf_à_la_coque	244578		3549	20170215144530
149	La_Soupe_aux_choux_(film)	244679		28206	20170213215223
150	Plov	246638		1489	20170215144551
151	Moule_(ustensile)	247441		2090	20170215144552
152	Paul_Carton	250489		17231	20170215093455
153	Vergeoise	252004		1971	20170215144619
154	Forêt-noire_(gâteau)	256931		1757	20170215144635
155	Flageolet_(légume)	257735		2023	20170215144636
156	Dragée	259038		10972	20170215144639
157	Tortellini	260741		1744	20170215144648
158	Chère_Martha	262200		1782	20170212181923
159	Cuisine_tchèque	263941		6801	20170215144655
160	Pabellón	264262		912	20170215144659
161	Mezzé	267863		2237	20170215144701
162	Fatouche	268532		612	20170215144708
163	Dessiccation	271738		4555	20170215144714
164	Rice_Rhapsody	271834		2461	20170212182044
165	Hot-dog	272132		7019	20170212182050
166	Tortas_de_Aceite	273125		1699	20170215144714
167	Festival_international_cinéma_et_gastronomie_de_Dijon	274493		1559	20170215144718
168	Plaque_à_induction	275484		7618	20170215144724
169	Rancissement	279285		1454	20170116113055
170	Flamiche	291950		1917	20170215144843
171	Le_Festin_chinois	292723		2641	20170212182258
172	Johann-Carl_Leuchs	292861		783	20170215144847
173	Panna_cotta	294190		2552	20170215144850
174	Alléluia_(pâtisserie)	299209		2550	20170215144924
175	Sot-l'y-laisse	300334		5969	20170215144928
176	Pâte_phyllo	306629		1487	20170215145004
177	Soumbala	307128		1056	20170215145004
178	Merguez	308979		3981	20170215145012
179	Casse_(épice)	311080		1421	20170215145041
180	Big_Mac	321042		13105	20170215145202
181	Dessert	321222		2935	20170215145202
182	Archestrate	322909		5001	20170212182803
183	Merci_pour_le_chocolat	329812		7794	20170212182834
184	Culotte_(viande)	329858		442	20170215145253
185	Kémia	331888		2802	20170215145255
186	The_God_of_Cookery	340109		3974	20170212182929
187	Blettissement	346477		776	20170215145337
188	Nicolas_Stohrer	347584		2508	20170215145345
189	Casserole	348010		3977	20170215145347
190	Farine_de_maïs	351680		3734	20170215145414
191	Lapin_à_la_liégeoise	352288		800	20170215145415
192	Jaune_d'œuf	357234		2839	20170215145429
193	Moule_à_tarte	358654		1674	20170215145434
194	Semoule	359197		6779	20170215005831
195	Jésuite_(pâtisserie)	373641		921	20170215145511
196	Sorbate_de_potassium	376064		5353	20170215145521
197	Ayran	377412		2002	20170215145532
198	Galette-saucisse	377919		36519	20170212183315
199	Fruitier	379506		5421	20170128153447
200	Tendron	379756		378	20170215145538
201	Grillade	379981		4126	20170215145538
202	Faux-filet	379985		1226	20170215145538
203	Spatule_(cuisine)	388647		2139	20170215145636
204	Boite_de_conserve	391859		158341	20170213140914
205	Fumage	391862		16850	20170212183516
206	Mousseline	394110		5384	20170215145739
207	Bagel	394343		7948	20170212183547
208	Pepperoni	395319		772	20170215145740
209	Bouchiar	401042		384	20170215145829
210	Baghrir	401053		2311	20170215145829
211	Ahriche	401057		976	20170215145829
212	Tapioca	406154		5792	20170212215132
213	Saucisse	406616		16501	20170215145916
214	Pot_(récipient)	406835		2659	20170215145919
215	Crème_Budwig	410476		2506	20170215145941
216	Coucougnette	411950		1114	20170215145949
217	Piccadilly_(film)	412308		2304	20170213075931
218	Nouvelle_Cuisine_(film)	412363		4345	20170212183755
219	Bouillie	413173		8927	20170212183801
220	Jean_Anthelme_Brillat-Savarin	413513		21928	20170215160705
221	Guy_Penaud	422092		31348	20170213131149
222	Plaque_électrique	425661		1648	20170215150105
223	Tarte_à_la_crème	425864		1522	20170215150105
224	Tahricht	430307		397	20170215150122
225	Saindoux	431569		7888	20170215150133
226	Chaîne_du_froid	431617		10139	20170215150133
227	Congélateur	431627		10340	20170212183937
228	Surgélation	431682		3096	20170116115017
229	Une_affaire_de_goût	433490		17411	20170212183941
230	Emeril_Lagasse	435785		949	20170215150143
231	Absolument_fabuleux	436933		11689	20170212183947
232	Louche	438603		3806	20170215150151
233	Wallace_et_Gromit_:_Le_Mystère_du_lapin-garou	440169		12341	20170212183955
234	Plat_bernois	441810		1832	20170215150210
235	Mandoline_(ustensile)	444979		2520	20170215150224
236	Eau_de_rose	457775		1389	20170215150250
237	Le_facteur_sonne_toujours_deux_fois_(film,_1981)	462662		6575	20170212184127
238	Pain_au_chocolat	471081		3121	20170215150352
239	Œuf_poché	476359		2282	20170215150432
240	Cuisine_bretonne	478811		6668	20170215150435
241	Le_Creuset	487746		6606	20170212184512
242	Tupperware	488106		11025	20170212184512
243	Cassole	493170		1872	20170215150539
244	Râpe_(ustensile)	494152		847	20170215150539
245	Julius_Arndt	496019		1485	20170215150542
246	Biscuit_de_Montbozon	496026		2171	20170215150542
247	Theodor_Drexel	496032		1421	20170116115854
248	Les_Contenances_de_la_table	496155		4064	20170131034430
249	François_Pierre_de_La_Varenne	497035		6188	20170210090841
250	Alexandre_Choron	498580		3053	20170212184540
251	Plaque_de_four	498968		813	20170215150546
252	Couperet_(ustensile)	499047		1565	20170215150546
253	Couvercle	499059		2307	20170215150546
254	Roger_Vaultier	499774		2903	20170211130524
255	Kluski	500602		762	20170215150549
256	Potée_lorraine	501882		1142	20170215150550
257	Peter_Durand	502946		3973	20170215150554
