number	title	pageid	namespace	length	touched
1	Football_à_trois_côtés	25165		3620	20170212175144
2	Guerre_de_Cent_Heures	28184		26813	20170215065330
3	Liste_des_catastrophes_survenues_pendant_un_match_de_football	82047		6463	20170215063604
4	Drame_du_Heysel	82130		21420	20170215142826
5	Olive_et_Tom	89575		93986	20170212175923
6	Statistiques_et_records_de_la_Coupe_du_monde_de_football	99989		63481	20170214165159
7	Jorkyball	134277		4514	20170212180516
8	Football_à_7	140745		4313	20170215143808
9	Histoire_du_football_en_France	151597		70732	20170215004945
10	Genèse_du_football_féminin	151598		19050	20170212180633
11	Débuts_du_football	159533		23982	20170212180721
12	Coup_du_chapeau	159598		6912	20170215143918
13	Tactique_(football)	159628		29863	20170212180721
14	Loi_1_du_football	161414		8401	20170116111858
15	Loi_2_du_football	161418		2393	20170126235632
16	Football_et_télévision	161422		69712	20170212180747
17	Subbuteo	161931		31743	20170212180747
18	Stade_de_football	170262		24687	20170116112008
19	Loi_11_du_football	181752		9450	20170212181010
20	Loi_10_du_football	211579		2984	20170128150000
21	Football_dans_le_monde	213863		1332	20170213225256
22	Loi_3_du_football	216901		9976	20170208163722
23	Loi_4_du_football	216911		3843	20170116112545
24	Loi_9_du_football	216917		1959	20170116112545
25	Loi_7_du_football	218889		5993	20170127000847
26	Loi_5_du_football	218901		3927	20170116112557
27	Loi_6_du_football	218902		2770	20170116112557
28	Loi_8_du_football	218909		6283	20170127000847
29	Loi_12_du_football	218932		8041	20170202104051
30	Loi_13_du_football	218952		7254	20170127000847
31	Loi_14_du_football	218969		8070	20170127000847
32	Loi_15_du_football	218978		5422	20170116112557
33	Loi_16_du_football	218984		3710	20170116112557
34	Loi_17_du_football	218997		4011	20170128150143
35	Match_de_football_FCG_Bordeaux_–_AC_Milan_(1996)	270923		10666	20170215144711
36	Match_de_football_Waterschei_–_Paris_Saint-Germain_(1983)	275459		2768	20170116113039
37	Origines_du_football	277116		9427	20170116113046
38	Football_féminin	285444		23470	20170215102258
39	Camp_des_Loges_(football)	287362		5961	20170128151215
40	Finale_de_la_Coupe_d'Angleterre_de_football_de_1888	287576		3224	20170215144806
41	Rollersoccer	317572		16929	20170215145133
42	Simon_Inglis	331121		2034	20170131034127
43	Lob	341493		1541	20170127002946
44	Kicker_Sportmagazin	342222		1311	20170215145320
45	Football_total	395732		5903	20170129151530
46	International_Football_Association_Board	422416		9933	20170213134220
47	G14	451053		11990	20170212184030
48	Capitaine_(football)	488947		6037	20170212184513
49	Milieu_de_terrain	542917		13447	20170210183610
50	Protège-tibia	546813		472	20170215150937
51	Centre_de_formation_(football)	561943		3660	20170127005841
52	Jeu_à_la_nantaise	593972		10850	20170131034601
53	Youdan_Cup	638607		957	20170215151511
54	Match_de_football_AS_Adema_–_SO_de_l'Emyrne	639161		3883	20170212185741
55	World_Soccer	684826		762	20170215151801
56	World_Soccer_Awards	684866		14901	20170212190114
