number	title	pageid	namespace	length	touched
1	Recherche_dichotomique	842		9501	20170212174654
2	Isaac_Asimov	1524		48432	20170215004522
3	Intelligence_artificielle	1548		97028	20170215111210
4	John_McCarthy	1592		10026	20170215004522
5	Lisp	1716		20941	20170214025500
6	Trois_lois_de_la_robotique	1847		34740	20170212174728
7	Ensemble_flou	2848		14276	20170118061916
8	Systèmes_de_prise_de_décision	2876		5154	20170116110248
9	Système_expert	2884		8064	20170207193318
10	2001,_l'Odyssée_de_l'espace	3945		78381	20170212174747
11	Informatique_industrielle	4711		1993	20170215143143
12	Instrument_intelligent	4712		934	20170116110257
13	ECTOR	6971		2059	20170212174814
14	Réseau_de_concepts	6977		9345	20170131232905
15	BAsCET	6982		1750	20170116110302
16	Agent_conversationnel	7013		11613	20170212174814
17	Réseau_de_neurones_artificiels	7015		43745	20170212174814
18	Alan_Turing	7239		63155	20170215125939
19	ELIZA	8608		5403	20170212174837
20	Le_Trio_de_l'étrange	11853		4653	20170215004555
21	Logique_déontique	15993		18045	20170212175019
22	Représentation_des_connaissances	20465		5657	20170213093138
23	Humanoïde	20880		2119	20170126233336
24	Androïde	20885		36079	20170212175100
25	Méthode_de_Newton	26650		28801	20170212175152
26	Algorithme_de_Dijkstra	26685		17549	20170213090833
27	Gestion_des_connaissances	29417		73548	20170215004652
28	Logique_floue	29909		26689	20170215004652
29	Apprentissage_automatique	31947		17857	20170212175223
30	Herbert_Simon	33502		17606	20170214224031
31	Neuromancien	38720		11619	20170212175257
32	Reconnaissance_optique_de_caractères	40108		12554	20170213221645
33	Algorithme_génétique	44800		29723	20170212175335
34	Système_multi-agents	46366		35955	20170212175339
35	Edward_Feigenbaum	46588		2088	20170214224032
36	Reconnaissance_de_formes	56107		4308	20170215143426
37	Transformée_de_Hough	56114		5711	20170126233920
38	Problème_de_la_décision	59778		7678	20170212175525
39	Thèse_de_Church	59972		23653	20170212175525
40	Deep_Blue	61802		2827	20170215004749
41	Mouvement_brownien	65605		42806	20170215134654
42	Théorie_Dezert-Smarandache	72562		2287	20170215004801
43	Ontologie_(informatique)	72707		19432	20170212175707
44	Animatronique	77649		4684	20170116111019
45	Algorithme_de_Bellman-Ford	82775		10078	20170215143510
46	Problème_SAT	83075		31345	20170212175824
47	Préhenseur	84128		1069	20170215143526
48	Robotique	84132		70315	20170212175830
49	Microrobotique	84137		14714	20170212175830
50	IA-complet	85079		966	20170212175834
51	Recherche_des_plus_proches_voisins	85341		8472	20170215143526
52	Problème_de_décision	85396		1932	20170215143526
53	Algorithme_d'optimisation	88030		2637	20170131232905
54	Prolog	89964		32678	20170213090837
55	Monte-Carlo_N-Particle_transport	100960		4134	20170215143601
56	Calculateur_stochastique	100979		6886	20170212180146
57	Calcul_stochastique	107260		12366	20170215143609
58	Marvin_Minsky	108526		8677	20170215004906
59	Chambre_chinoise	109476		11407	20170212180243
60	Inférence_bayésienne	109880		36860	20170215143620
61	Classification_automatique	117198		3822	20170209213209
62	Bruno_Bonnell	117224		14794	20170212180337
63	Autonomic_computing	118575		2367	20170215143652
64	Reconnaissance_optique_de_marques	125481		4685	20170116111420
65	Programmation_dynamique	128278		11335	20170212180442
66	Planification_de_mouvement	130660		4904	20170215143722
67	CAPTCHA	135160		20972	20170212180533
68	Algorithme_du_simplexe	135919		36257	20170215004932
69	Web_Ontology_Language	137941		12226	20170215143753
70	Décision	148681		17213	20170212180626
